,bluegrass,outlaw,gospel,blues,american,western,tradition,old-time,appalachian,southern,traditions,northern,alt-country,rootsy,country-rock,rockabilly,pacific
bluegrass,1.0,0.6365,0.68253,0.64751,0.59356,0.68693,0.71663,0.85794,0.86011,0.56657,0.76692,0.53636,0.70786,0.74064,0.7536,0.71701,0.57548
outlaw,0.6365,1.0,0.61492,0.5322,0.62428,0.55355,0.62108,0.67046,0.58957,0.67821,0.5061,0.66763,0.60307,0.57814,0.56772,0.58736,0.61458
gospel,0.68253,0.61492,1.0,0.6322,0.48045,0.57383,0.43994,0.64993,0.70425,0.5456,0.41725,0.56282,0.3661,0.54025,0.64825,0.6856,0.35441
blues,0.64751,0.5322,0.6322,1.0,0.35865,0.3537,0.42028,0.48631,0.60997,0.46515,0.36425,0.33709,0.35371,0.42964,0.573,0.62786,0.32456
american,0.59356,0.62428,0.48045,0.35865,1.0,0.71905,0.61667,0.52893,0.55759,0.50222,0.66239,0.60724,0.48922,0.44232,0.34986,0.40015,0.57996
western,0.68693,0.55355,0.57383,0.3537,0.71905,1.0,0.65386,0.65026,0.70022,0.5122,0.742,0.66902,0.48043,0.55306,0.48672,0.53579,0.62768
tradition,0.71663,0.62108,0.43994,0.42028,0.61667,0.65386,1.0,0.64266,0.69596,0.6957,0.88616,0.54945,0.70853,0.67005,0.54505,0.48193,0.59841
old-time,0.85794,0.67046,0.64993,0.48631,0.52893,0.65026,0.64266,1.0,0.80408,0.52562,0.70695,0.51123,0.65357,0.74087,0.67573,0.66096,0.49442
appalachian,0.86011,0.58957,0.70425,0.60997,0.55759,0.70022,0.69596,0.80408,1.0,0.58118,0.73145,0.52951,0.60456,0.70412,0.77899,0.66143,0.51994
southern,0.56657,0.67821,0.5456,0.46515,0.50222,0.5122,0.6957,0.52562,0.58118,1.0,0.55473,0.67011,0.59745,0.67008,0.56977,0.6047,0.62
traditions,0.76692,0.5061,0.41725,0.36425,0.66239,0.742,0.88616,0.70695,0.73145,0.55473,1.0,0.48894,0.61031,0.57821,0.46434,0.43159,0.52922
northern,0.53636,0.66763,0.56282,0.33709,0.60724,0.66902,0.54945,0.51123,0.52951,0.67011,0.48894,1.0,0.51404,0.4797,0.50965,0.55037,0.83851
alt-country,0.70786,0.60307,0.3661,0.35371,0.48922,0.48043,0.70853,0.65357,0.60456,0.59745,0.61031,0.51404,1.0,0.79611,0.73054,0.5569,0.66589
rootsy,0.74064,0.57814,0.54025,0.42964,0.44232,0.55306,0.67005,0.74087,0.70412,0.67008,0.57821,0.4797,0.79611,1.0,0.79314,0.71704,0.55788
country-rock,0.7536,0.56772,0.64825,0.573,0.34986,0.48672,0.54505,0.67573,0.77899,0.56977,0.46434,0.50965,0.73054,0.79314,1.0,0.78813,0.58785
rockabilly,0.71701,0.58736,0.6856,0.62786,0.40015,0.53579,0.48193,0.66096,0.66143,0.6047,0.43159,0.55037,0.5569,0.71704,0.78813,1.0,0.56351
pacific,0.57548,0.61458,0.35441,0.32456,0.57996,0.62768,0.59841,0.49442,0.51994,0.62,0.52922,0.83851,0.66589,0.55788,0.58785,0.56351,1.0
