,appalachian,americana,bluegrass,folk-rock,psych-folk,country-rock,backwoods,gospel,traditional,classical,english,folk-pop,ragas,old-time,celtic,indie-folk
appalachian,1.0,0.86723,0.86011,0.74139,0.75757,0.77899,0.80587,0.70425,0.72039,0.72104,0.61479,0.69819,0.8115,0.80408,0.83639,0.77145
americana,0.86723,1.0,0.815,0.87311,0.81809,0.86034,0.80627,0.64187,0.51874,0.55313,0.51629,0.7732,0.70888,0.71514,0.73081,0.73627
bluegrass,0.86011,0.815,1.0,0.71187,0.70182,0.7536,0.70135,0.68253,0.69075,0.67827,0.55639,0.61374,0.75102,0.85794,0.65877,0.74361
folk-rock,0.74139,0.87311,0.71187,1.0,0.88236,0.89332,0.73267,0.49923,0.39948,0.4907,0.39123,0.89439,0.66963,0.62103,0.68402,0.73748
psych-folk,0.75757,0.81809,0.70182,0.88236,1.0,0.77262,0.76793,0.48345,0.48832,0.61896,0.38448,0.78033,0.74099,0.62474,0.76379,0.80765
country-rock,0.77899,0.86034,0.7536,0.89332,0.77262,1.0,0.78139,0.64825,0.42632,0.42314,0.4038,0.85653,0.73305,0.67573,0.73901,0.6981
backwoods,0.80587,0.80627,0.70135,0.73267,0.76793,0.78139,1.0,0.59329,0.3927,0.46863,0.42918,0.63193,0.83115,0.63989,0.85566,0.71323
gospel,0.70425,0.64187,0.68253,0.49923,0.48345,0.64825,0.59329,1.0,0.56656,0.44128,0.52625,0.5028,0.53088,0.64993,0.6269,0.46839
traditional,0.72039,0.51874,0.69075,0.39948,0.48832,0.42632,0.3927,0.56656,1.0,0.72323,0.53098,0.39089,0.48607,0.64114,0.48295,0.58316
classical,0.72104,0.55313,0.67827,0.4907,0.61896,0.42314,0.46863,0.44128,0.72323,1.0,0.45636,0.45488,0.63349,0.62882,0.58143,0.63359
english,0.61479,0.51629,0.55639,0.39123,0.38448,0.4038,0.42918,0.52625,0.53098,0.45636,1.0,0.39099,0.42086,0.58328,0.42886,0.5242
folk-pop,0.69819,0.7732,0.61374,0.89439,0.78033,0.85653,0.63193,0.5028,0.39089,0.45488,0.39099,1.0,0.60959,0.58217,0.63697,0.70181
ragas,0.8115,0.70888,0.75102,0.66963,0.74099,0.73305,0.83115,0.53088,0.48607,0.63349,0.42086,0.60959,1.0,0.73098,0.85881,0.70762
old-time,0.80408,0.71514,0.85794,0.62103,0.62474,0.67573,0.63989,0.64993,0.64114,0.62882,0.58328,0.58217,0.73098,1.0,0.62223,0.77927
celtic,0.83639,0.73081,0.65877,0.68402,0.76379,0.73901,0.85566,0.6269,0.48295,0.58143,0.42886,0.63697,0.85881,0.62223,1.0,0.66702
indie-folk,0.77145,0.73627,0.74361,0.73748,0.80765,0.6981,0.71323,0.46839,0.58316,0.63359,0.5242,0.70181,0.70762,0.77927,0.66702,1.0
