,improv,classical,ethiopian,avant-garde,afrobeat,klezmer,bluegrass,highlife,funk,mariachi,traditional,free-jazz,cuban,latin,big-band,reggae,exotica,brazilian,rumba
improv,1.0,0.72062,0.65721,0.8072,0.62576,0.62164,0.5857,0.62818,0.38325,0.60426,0.56395,0.79865,0.64401,0.4318,0.60611,0.40844,0.54073,0.55789,0.58511
classical,0.72062,1.0,0.81634,0.81452,0.60894,0.69565,0.67827,0.65529,0.33998,0.65579,0.72323,0.65369,0.66346,0.58839,0.6017,0.45143,0.69569,0.67974,0.60937
ethiopian,0.65721,0.81634,1.0,0.77748,0.75604,0.82095,0.77297,0.78976,0.49381,0.76612,0.71758,0.64698,0.75827,0.73167,0.83478,0.64994,0.81379,0.8355,0.82859
avant-garde,0.8072,0.81452,0.77748,1.0,0.69092,0.65664,0.67796,0.71172,0.39153,0.56971,0.65056,0.71604,0.71555,0.56155,0.62737,0.54716,0.68747,0.73702,0.68491
afrobeat,0.62576,0.60894,0.75604,0.69092,1.0,0.80824,0.60605,0.93013,0.81143,0.7697,0.52191,0.74381,0.82245,0.86601,0.75801,0.88848,0.84781,0.83215,0.83635
klezmer,0.62164,0.69565,0.82095,0.65664,0.80824,1.0,0.7648,0.8211,0.65386,0.91756,0.62138,0.7941,0.72443,0.82335,0.85951,0.70135,0.85497,0.74814,0.83652
bluegrass,0.5857,0.67827,0.77297,0.67796,0.60605,0.7648,1.0,0.71746,0.45822,0.77708,0.69075,0.62657,0.67134,0.65009,0.66789,0.54484,0.65068,0.72169,0.72915
highlife,0.62818,0.65529,0.78976,0.71172,0.93013,0.8211,0.71746,1.0,0.72357,0.80768,0.53989,0.73873,0.81321,0.8372,0.77063,0.7812,0.86582,0.87984,0.89303
funk,0.38325,0.33998,0.49381,0.39153,0.81143,0.65386,0.45822,0.72357,1.0,0.61109,0.3429,0.51746,0.59181,0.759,0.57466,0.8321,0.68791,0.57508,0.62535
mariachi,0.60426,0.65579,0.76612,0.56971,0.7697,0.91756,0.77708,0.80768,0.61109,1.0,0.61023,0.80458,0.73561,0.81252,0.80366,0.64022,0.82863,0.75583,0.79149
traditional,0.56395,0.72323,0.71758,0.65056,0.52191,0.62138,0.69075,0.53989,0.3429,0.61023,1.0,0.50803,0.55118,0.63742,0.53229,0.50926,0.5245,0.601,0.52107
free-jazz,0.79865,0.65369,0.64698,0.71604,0.74381,0.7941,0.62657,0.73873,0.51746,0.80458,0.50803,1.0,0.69619,0.60212,0.67406,0.5249,0.72497,0.66146,0.72298
cuban,0.64401,0.66346,0.75827,0.71555,0.82245,0.72443,0.67134,0.81321,0.59181,0.73561,0.55118,0.69619,1.0,0.7564,0.75516,0.68796,0.75159,0.82623,0.84267
latin,0.4318,0.58839,0.73167,0.56155,0.86601,0.82335,0.65009,0.8372,0.759,0.81252,0.63742,0.60212,0.7564,1.0,0.70428,0.86438,0.8152,0.83603,0.76291
big-band,0.60611,0.6017,0.83478,0.62737,0.75801,0.85951,0.66789,0.77063,0.57466,0.80366,0.53229,0.67406,0.75516,0.70428,1.0,0.65427,0.76792,0.73803,0.88197
reggae,0.40844,0.45143,0.64994,0.54716,0.88848,0.70135,0.54484,0.7812,0.8321,0.64022,0.50926,0.5249,0.68796,0.86438,0.65427,1.0,0.74733,0.74265,0.69212
exotica,0.54073,0.69569,0.81379,0.68747,0.84781,0.85497,0.65068,0.86582,0.68791,0.82863,0.5245,0.72497,0.75159,0.8152,0.76792,0.74733,1.0,0.83421,0.82499
brazilian,0.55789,0.67974,0.8355,0.73702,0.83215,0.74814,0.72169,0.87984,0.57508,0.75583,0.601,0.66146,0.82623,0.83603,0.73803,0.74265,0.83421,1.0,0.84343
rumba,0.58511,0.60937,0.82859,0.68491,0.83635,0.83652,0.72915,0.89303,0.62535,0.79149,0.52107,0.72298,0.84267,0.76291,0.88197,0.69212,0.82499,0.84343,1.0
