,dancehall,reggae,neo-soul,latin,funk,dance-pop,calypso,boom-bap,tropicalia,s-style,lounge,electro,brazilian,jamaican,ska,rocksteady,synth-pop,girl-group,trip-hop,soul
dancehall,1.0,0.87341,0.75726,0.81124,0.77183,0.73996,0.73204,0.85189,0.74907,0.65352,0.69346,0.88138,0.70673,0.85872,0.80699,0.77476,0.64897,0.56748,0.82538,0.4943
reggae,0.87341,1.0,0.74302,0.86438,0.8321,0.67021,0.79433,0.77417,0.77455,0.65235,0.77576,0.79466,0.74265,0.8178,0.88173,0.83427,0.66557,0.59432,0.79686,0.6156
neo-soul,0.75726,0.74302,1.0,0.72503,0.65453,0.82882,0.82559,0.72077,0.85611,0.76121,0.67647,0.67774,0.77331,0.73928,0.77553,0.7433,0.73526,0.71085,0.76043,0.52118
latin,0.81124,0.86438,0.72503,1.0,0.759,0.64836,0.87861,0.80682,0.85797,0.72453,0.86832,0.72206,0.83603,0.76524,0.86353,0.7973,0.64544,0.67231,0.73037,0.54946
funk,0.77183,0.8321,0.65453,0.759,1.0,0.61581,0.70149,0.80697,0.70234,0.67006,0.69876,0.77499,0.57508,0.62177,0.80033,0.75784,0.58968,0.50902,0.74297,0.69323
dance-pop,0.73996,0.67021,0.82882,0.64836,0.61581,1.0,0.70176,0.73239,0.7859,0.7763,0.62259,0.77541,0.71586,0.57738,0.71075,0.66778,0.90942,0.74318,0.80558,0.35462
calypso,0.73204,0.79433,0.82559,0.87861,0.70149,0.70176,1.0,0.70855,0.92716,0.78912,0.82337,0.65237,0.81828,0.7291,0.8545,0.8442,0.71553,0.77086,0.72066,0.5799
boom-bap,0.85189,0.77417,0.72077,0.80682,0.80697,0.73239,0.70855,1.0,0.73708,0.76714,0.66746,0.84469,0.65053,0.65968,0.78403,0.75243,0.63556,0.60636,0.82708,0.48563
tropicalia,0.74907,0.77455,0.85611,0.85797,0.70234,0.7859,0.92716,0.73708,1.0,0.83573,0.83831,0.69727,0.85414,0.74116,0.87465,0.83355,0.76954,0.76335,0.78518,0.49239
s-style,0.65352,0.65235,0.76121,0.72453,0.67006,0.7763,0.78912,0.76714,0.83573,1.0,0.73635,0.68207,0.63725,0.47855,0.78565,0.74916,0.74607,0.83109,0.73509,0.43743
lounge,0.69346,0.77576,0.67647,0.86832,0.69876,0.62259,0.82337,0.66746,0.83831,0.73635,1.0,0.67694,0.78213,0.60776,0.7854,0.72567,0.65742,0.70791,0.68749,0.52532
electro,0.88138,0.79466,0.67774,0.72206,0.77499,0.77541,0.65237,0.84469,0.69727,0.68207,0.67694,1.0,0.59184,0.64949,0.76732,0.7147,0.73664,0.56825,0.90634,0.42209
brazilian,0.70673,0.74265,0.77331,0.83603,0.57508,0.71586,0.81828,0.65053,0.85414,0.63725,0.78213,0.59184,1.0,0.79845,0.71073,0.65697,0.67927,0.67452,0.6524,0.44142
jamaican,0.85872,0.8178,0.73928,0.76524,0.62177,0.57738,0.7291,0.65968,0.74116,0.47855,0.60776,0.64949,0.79845,1.0,0.7225,0.68888,0.50897,0.47509,0.68148,0.4508
ska,0.80699,0.88173,0.77553,0.86353,0.80033,0.71075,0.8545,0.78403,0.87465,0.78565,0.7854,0.76732,0.71073,0.7225,1.0,0.8949,0.71618,0.69049,0.79565,0.55336
rocksteady,0.77476,0.83427,0.7433,0.7973,0.75784,0.66778,0.8442,0.75243,0.83355,0.74916,0.72567,0.7147,0.65697,0.68888,0.8949,1.0,0.60759,0.60366,0.73842,0.56918
synth-pop,0.64897,0.66557,0.73526,0.64544,0.58968,0.90942,0.71553,0.63556,0.76954,0.74607,0.65742,0.73664,0.67927,0.50897,0.71618,0.60759,1.0,0.79546,0.79181,0.36871
girl-group,0.56748,0.59432,0.71085,0.67231,0.50902,0.74318,0.77086,0.60636,0.76335,0.83109,0.70791,0.56825,0.67452,0.47509,0.69049,0.60366,0.79546,1.0,0.66354,0.39477
trip-hop,0.82538,0.79686,0.76043,0.73037,0.74297,0.80558,0.72066,0.82708,0.78518,0.73509,0.68749,0.90634,0.6524,0.68148,0.79565,0.73842,0.79181,0.66354,1.0,0.42251
soul,0.4943,0.6156,0.52118,0.54946,0.69323,0.35462,0.5799,0.48563,0.49239,0.43743,0.52532,0.42209,0.44142,0.4508,0.55336,0.56918,0.36871,0.39477,0.42251,1.0
