index,avant-garde,electro-acoustic,avant-folk,improv,post-rock,modernist,finnish,idm,guitar-based
avant-garde,1.0,0.77712,0.75705,0.8072,0.72396,0.88203,0.68299,0.72748,0.68725
electro-acoustic,0.77712,1.0,0.84262,0.75105,0.72443,0.75489,0.76295,0.64292,0.64022
avant-folk,0.75705,0.84262,1.0,0.73245,0.67986,0.79607,0.85761,0.63732,0.71097
improv,0.8072,0.75105,0.73245,1.0,0.71376,0.66317,0.63691,0.53553,0.63885
post-rock,0.72396,0.72443,0.67986,0.71376,1.0,0.65467,0.53886,0.65111,0.71808
modernist,0.88203,0.75489,0.79607,0.66317,0.65467,1.0,0.66348,0.70424,0.75226
finnish,0.68299,0.76295,0.85761,0.63691,0.53886,0.66348,1.0,0.49227,0.46906
idm,0.72748,0.64292,0.63732,0.53553,0.65111,0.70424,0.49227,1.0,0.65619
guitar-based,0.68725,0.64022,0.71097,0.63885,0.71808,0.75226,0.46906,0.65619,1.0
