index,guitar-pop,pop-rock,synth-pop,dance-pop,power-pop,indie-pop,electro-pop,alt-rock,psych-pop,folk-pop,pop-punk,retro,britpop,adult-contemporary,soft-rock,chamber-pop,r&b
guitar-pop,1.0,0.92727,0.85403,0.8794,0.79599,0.77972,0.78041,0.69655,0.83826,0.87034,0.77584,0.77138,0.68384,0.72998,0.73185,0.80279,0.57709
pop-rock,0.92727,1.0,0.83034,0.85671,0.86794,0.74043,0.69471,0.7631,0.75987,0.81989,0.83686,0.78462,0.70201,0.70361,0.72297,0.69485,0.60103
synth-pop,0.85403,0.83034,1.0,0.90942,0.73485,0.75269,0.82797,0.71001,0.82111,0.76287,0.66454,0.8331,0.71714,0.60611,0.8078,0.68324,0.67689
dance-pop,0.8794,0.85671,0.90942,1.0,0.74881,0.8093,0.87394,0.72529,0.82654,0.75954,0.71232,0.83222,0.72434,0.71314,0.74892,0.72986,0.72021
power-pop,0.79599,0.86794,0.73485,0.74881,1.0,0.69907,0.57252,0.81625,0.72852,0.73958,0.82027,0.63381,0.68993,0.57383,0.74241,0.61189,0.46771
indie-pop,0.77972,0.74043,0.75269,0.8093,0.69907,1.0,0.77449,0.65987,0.83392,0.71766,0.6635,0.58425,0.67945,0.57987,0.54067,0.70657,0.47565
electro-pop,0.78041,0.69471,0.82797,0.87394,0.57252,0.77449,1.0,0.44577,0.81376,0.79386,0.45933,0.6141,0.43994,0.52968,0.63719,0.81038,0.63704
alt-rock,0.69655,0.7631,0.71001,0.72529,0.81625,0.65987,0.44577,1.0,0.66021,0.50265,0.83729,0.69794,0.91804,0.64474,0.73236,0.40834,0.54039
psych-pop,0.83826,0.75987,0.82111,0.82654,0.72852,0.83392,0.81376,0.66021,1.0,0.81965,0.62821,0.59726,0.64228,0.61537,0.71808,0.80797,0.47809
folk-pop,0.87034,0.81989,0.76287,0.75954,0.73958,0.71766,0.79386,0.50265,0.81965,1.0,0.58251,0.57192,0.4651,0.57029,0.71688,0.85606,0.52134
pop-punk,0.77584,0.83686,0.66454,0.71232,0.82027,0.6635,0.45933,0.83729,0.62821,0.58251,1.0,0.73518,0.78125,0.62964,0.57767,0.41534,0.42836
retro,0.77138,0.78462,0.8331,0.83222,0.63381,0.58425,0.6141,0.69794,0.59726,0.57192,0.73518,1.0,0.73043,0.64749,0.67702,0.48004,0.6714
britpop,0.68384,0.70201,0.71714,0.72434,0.68993,0.67945,0.43994,0.91804,0.64228,0.4651,0.78125,0.73043,1.0,0.64233,0.64079,0.39105,0.53542
adult-contemporary,0.72998,0.70361,0.60611,0.71314,0.57383,0.57987,0.52968,0.64474,0.61537,0.57029,0.62964,0.64749,0.64233,1.0,0.65505,0.58081,0.52847
soft-rock,0.73185,0.72297,0.8078,0.74892,0.74241,0.54067,0.63719,0.73236,0.71808,0.71688,0.57767,0.67702,0.64079,0.65505,1.0,0.60034,0.65415
chamber-pop,0.80279,0.69485,0.68324,0.72986,0.61189,0.70657,0.81038,0.40834,0.80797,0.85606,0.41534,0.48004,0.39105,0.58081,0.60034,1.0,0.46705
r&b,0.57709,0.60103,0.67689,0.72021,0.46771,0.47565,0.63704,0.54039,0.47809,0.52134,0.42836,0.6714,0.53542,0.52847,0.65415,0.46705,1.0
