index,rocknroll,adult-contemporary,classic-rock,pop-rock,alt-rock,garage-rock,power-pop,pop-punk,prog-rock,grunge,hard-rock,proto-punk,art-rock,indie-rock,bluegrass,prog
rocknroll,1.0,0.62026,0.72041,0.53805,0.59927,0.69037,0.4751,0.68015,0.64929,0.70098,0.71857,0.73722,0.57944,0.65571,0.68058,0.58265
adult-contemporary,0.62026,1.0,0.70274,0.70361,0.64474,0.64231,0.57383,0.62964,0.66707,0.53547,0.73969,0.69942,0.61021,0.6124,0.56679,0.5148
classic-rock,0.72041,0.70274,1.0,0.6594,0.75988,0.8045,0.62451,0.7016,0.81583,0.77674,0.79856,0.81032,0.7916,0.75015,0.66177,0.74625
pop-rock,0.53805,0.70361,0.6594,1.0,0.7631,0.79517,0.86794,0.83686,0.70322,0.63704,0.70185,0.61125,0.70309,0.65551,0.59437,0.63006
alt-rock,0.59927,0.64474,0.75988,0.7631,1.0,0.81809,0.81625,0.83729,0.68451,0.82904,0.69972,0.67839,0.68466,0.80647,0.45908,0.60656
garage-rock,0.69037,0.64231,0.8045,0.79517,0.81809,1.0,0.76278,0.83455,0.82752,0.859,0.79954,0.82465,0.84884,0.85125,0.62697,0.77486
power-pop,0.4751,0.57383,0.62451,0.86794,0.81625,0.76278,1.0,0.82027,0.61725,0.64965,0.66175,0.56118,0.61167,0.63885,0.4858,0.54577
pop-punk,0.68015,0.62964,0.7016,0.83686,0.83729,0.83455,0.82027,1.0,0.66569,0.79156,0.70507,0.5873,0.63116,0.69001,0.49785,0.64973
prog-rock,0.64929,0.66707,0.81583,0.70322,0.68451,0.82752,0.61725,0.66569,1.0,0.77656,0.8726,0.86751,0.87296,0.71758,0.66588,0.8699
grunge,0.70098,0.53547,0.77674,0.63704,0.82904,0.859,0.64965,0.79156,0.77656,1.0,0.76183,0.76016,0.74599,0.77078,0.5339,0.80766
hard-rock,0.71857,0.73969,0.79856,0.70185,0.69972,0.79954,0.66175,0.70507,0.8726,0.76183,1.0,0.8493,0.71114,0.64189,0.63501,0.77232
proto-punk,0.73722,0.69942,0.81032,0.61125,0.67839,0.82465,0.56118,0.5873,0.86751,0.76016,0.8493,1.0,0.80529,0.74816,0.70092,0.7277
art-rock,0.57944,0.61021,0.7916,0.70309,0.68466,0.84884,0.61167,0.63116,0.87296,0.74599,0.71114,0.80529,1.0,0.86944,0.72632,0.81084
indie-rock,0.65571,0.6124,0.75015,0.65551,0.80647,0.85125,0.63885,0.69001,0.71758,0.77078,0.64189,0.74816,0.86944,1.0,0.61992,0.62053
bluegrass,0.68058,0.56679,0.66177,0.59437,0.45908,0.62697,0.4858,0.49785,0.66588,0.5339,0.63501,0.70092,0.72632,0.61992,1.0,0.63694
prog,0.58265,0.5148,0.74625,0.63006,0.60656,0.77486,0.54577,0.64973,0.8699,0.80766,0.77232,0.7277,0.81084,0.62053,0.63694,1.0
