,genre,subgenre
25,country,bluegrass
27,country,outlaw
28,country,gospel
29,country,blues
30,country,american
31,country,western
33,country,tradition
34,country,old-time
35,country,appalachian
36,country,southern
37,country,traditions
41,country,northern
43,country,alt-country
44,country,rootsy
45,country,country-rock
46,country,rockabilly
49,country,pacific
50,jazz,improv
52,jazz,classical
54,jazz,ethiopian
55,jazz,avant-garde
56,jazz,afrobeat
57,jazz,klezmer
58,jazz,bluegrass
59,jazz,highlife
60,jazz,funk
61,jazz,mariachi
62,jazz,traditional
63,jazz,free-jazz
64,jazz,cuban
67,jazz,latin
68,jazz,big-band
69,jazz,reggae
71,jazz,exotica
72,jazz,brazilian
74,jazz,rumba
78,metal,thrash
80,metal,grindcore
87,metal,crust
90,metal,hardcore
92,metal,hippy
95,metal,d-beat
98,metal,math-rock
99,metal,death-metal
100,pop,guitar-pop
101,pop,pop-rock
102,pop,synth-pop
103,pop,dance-pop
104,pop,power-pop
105,pop,indie-pop
106,pop,electro-pop
108,pop,alt-rock
109,pop,psych-pop
110,pop,folk-pop
111,pop,pop-punk
115,pop,retro
116,pop,britpop
117,pop,adult-contemporary
120,pop,soft-rock
121,pop,chamber-pop
124,pop,r&b
125,r&b,dancehall
126,r&b,reggae
127,r&b,neo-soul
128,r&b,latin
129,r&b,funk
130,r&b,dance-pop
131,r&b,calypso
135,r&b,boom-bap
136,r&b,tropicalia
137,r&b,s-style
138,r&b,lounge
139,r&b,electro
140,r&b,brazilian
141,r&b,jamaican
142,r&b,ska
143,r&b,rocksteady
144,r&b,synth-pop
145,r&b,girl-group
146,r&b,trip-hop
148,r&b,soul
150,folk,appalachian
151,folk,americana
152,folk,bluegrass
154,folk,folk-rock
156,folk,psych-folk
158,folk,country-rock
160,folk,backwoods
162,folk,gospel
163,folk,traditional
168,folk,classical
169,folk,english
170,folk,folk-pop
171,folk,ragas
172,folk,old-time
173,folk,celtic
174,folk,indie-folk
175,rap,hip-hop
177,rap,gangsta
183,rap,freestyle
185,rap,backpacker
196,rap,trap
203,rock,rocknroll
204,rock,adult-contemporary
207,rock,classic-rock
208,rock,pop-rock
209,rock,alt-rock
210,rock,garage-rock
212,rock,power-pop
213,rock,pop-punk
214,rock,prog-rock
215,rock,grunge
216,rock,hard-rock
217,rock,proto-punk
219,rock,art-rock
220,rock,indie-rock
222,rock,bluegrass
223,rock,prog
225,electronic,glitch
226,electronic,idm
227,electronic,laptop
228,electronic,ambient
230,electronic,microhouse
231,electronic,electro-acoustic
233,electronic,experimental
234,electronic,minimalist
235,electronic,post-dubstep
239,electronic,classical
241,electronic,maximalist
242,electronic,musique
245,electronic,soundscapes
246,electronic,techno
248,electronic,analog
249,electronic,modular
250,experimental,avant-garde
251,experimental,electro-acoustic
253,experimental,avant-folk
256,experimental,improv
257,experimental,post-rock
258,experimental,modernist
261,experimental,finnish
264,experimental,idm
269,experimental,guitar-based
